,,Validation Accuracy,Validation Accuracy,Validation Accuracy,Test Accuracy,Test Accuracy,Test Accuracy
Condition,,Field,Lab,Mixed,Field,Lab,Mixed
Model,Number of Parameters (Millions),,,,,,
DenseNet-121,6.968206,0.7471383975026016,0.9919424460431656,0.937556357078449,0.7185567010309278,0.992816091954023,0.932134831460674
DenseNet-161,26.502926,0.761706555671176,0.993093525179856,0.9434174932371504,0.7350515463917526,0.9945402298850576,0.9368539325842696
DenseNet-169,12.50779,0.753381893860562,0.9936690647482014,0.9382326420198376,0.7268041237113402,0.9942528735632185,0.9316853932584268
DenseNet-201,18.119822,0.7502601456815817,0.9933812949640288,0.942741208295762,0.734020618556701,0.9939655172413792,0.9393258426966292
EfficientNet-B0,4.025482,0.7367325702393341,0.9907913669064748,0.935527502254283,0.7309278350515463,0.9899425287356322,0.9258426966292136
EfficientNet-B1,6.531118,0.7565036420395422,0.9882014388489208,0.9334986474301172,0.743298969072165,0.9885057471264368,0.9296629213483146
MobileNetV3-L,4.219966,0.7367325702393341,0.9884892086330936,0.9314697926059512,0.7154639175257732,0.9870689655172412,0.9265168539325844
MobileNetV3-S,1.532206,0.7107180020811655,0.9867625899280577,0.9233543733092876,0.6804123711340206,0.9890804597701148,0.9184269662921348
ResNet-101,42.528846,0.7419354838709679,0.9942446043165468,0.9395852119026148,0.722680412371134,0.9954022988505749,0.935505617977528
ResNet-152,58.172494,0.7419354838709679,0.9945323741007194,0.940712353471596,0.7309278350515463,0.9919540229885058,0.933258426966292
ResNet-18,11.183694,0.7221644120707597,0.9893525179856116,0.9287646528403968,0.7268041237113402,0.9908045977011494,0.9265168539325844
ResNet-34,21.291854,0.7356919875130074,0.9922302158273382,0.9380072137060416,0.7154639175257732,0.992528735632184,0.929438202247191
ResNet-50,23.536718,0.7596253902185225,0.9913669064748202,0.9384580703336338,0.7298969072164948,0.988793103448276,0.9337078651685392
VGG-11,128.823694,0.7273673257023934,0.9922302158273382,0.9285392245266004,0.7144329896907217,0.9933908045977012,0.9283146067415732
VGG-13,129.008206,0.7419354838709679,0.9919424460431656,0.9348512173128944,0.7206185567010309,0.9916666666666668,0.9325842696629212
VGG-16,134.317902,0.7398543184183143,0.9922302158273382,0.9305680793507664,0.7268041237113402,0.9919540229885058,0.9323595505617978
VGG-19,139.627598,0.7398543184183143,0.9907913669064748,0.9359783588818756,0.7061855670103093,0.9922413793103448,0.9303370786516854
